,matches,picks,position,bans,teams,kills,deaths,assists,gold,ten_min_gold,ten_min_lane_opponent_gold,challenges,win
4094,NA1_4245643440,Xerath,UTILITY,Draven,blue,2,5,8,7014,2585,1959,"{'deathsByEnemyChamps': 5, 'hadAfkTeammate': 0, 'kda': 2, 'laningPhaseGoldExpAdvantage': 0, 'maxLevelLeadLaneOpponent': 1, 'teamDamagePercentage': 0.23921853008933103, 'visionScoreAdvantageLaneOpponent': 0.988737881183624}",False
4095,NA1_4245643440,Malphite,TOP,RekSai,red,3,3,14,10326,3123,3242,"{'deathsByEnemyChamps': 3, 'hadAfkTeammate': 0, 'kda': 5.666666666666667, 'laningPhaseGoldExpAdvantage': -0.08534532785415601, 'maxLevelLeadLaneOpponent': 2, 'teamDamagePercentage': 0.23549821534634302, 'visionScoreAdvantageLaneOpponent': 1.689754366874694}",True
4096,NA1_4245643440,Evelynn,JUNGLE,Samira,red,13,2,4,11540,3651,3400,"{'deathsByEnemyChamps': 2, 'hadAfkTeammate': 0, 'kda': 8.5, 'laningPhaseGoldExpAdvantage': 0, 'maxLevelLeadLaneOpponent': 3, 'teamDamagePercentage': 0.24261118695029402, 'visionScoreAdvantageLaneOpponent': 0.589863240718841}",True
4097,NA1_4245643440,Ziggs,MIDDLE,Hecarim,red,11,1,8,15997,5010,2905,"{'deathsByEnemyChamps': 1, 'hadAfkTeammate': 0, 'kda': 19, 'laningPhaseGoldExpAdvantage': 0, 'maxLevelLeadLaneOpponent': 4, 'teamDamagePercentage': 0.335845050092812, 'visionScoreAdvantageLaneOpponent': 2.9765901565551762}",True
4098,NA1_4245643440,MissFortune,BOTTOM,Sylas,red,5,9,6,9244,2805,4492,"{'deathsByEnemyChamps': 9, 'hadAfkTeammate': 0, 'kda': 1.222222222222222, 'laningPhaseGoldExpAdvantage': -0.25270974636077803, 'maxLevelLeadLaneOpponent': 0, 'teamDamagePercentage': 0.153145930922323, 'visionScoreAdvantageLaneOpponent': 0.893301665782928}",True
4099,NA1_4245643440,Zilean,UTILITY,Brand,red,0,3,16,7791,1959,2585,"{'deathsByEnemyChamps': 3, 'hadAfkTeammate': 0, 'kda': 5.333333333333333, 'laningPhaseGoldExpAdvantage': -0.082239866256713, 'maxLevelLeadLaneOpponent': 2, 'teamDamagePercentage': 0.032899616688226004, 'visionScoreAdvantageLaneOpponent': 1.011390447616577}",True
4100,NA1_4245661372,Gangplank,TOP,Vayne,blue,8,2,9,13216,4409,2113,"{'deathsByEnemyChamps': 2, 'hadAfkTeammate': 0, 'kda': 8.5, 'laningPhaseGoldExpAdvantage': 0, 'maxLevelLeadLaneOpponent': 5, 'teamDamagePercentage': 0.24923320687137002, 'visionScoreAdvantageLaneOpponent': 0.9829692244529721}",True
4101,NA1_4245661372,MasterYi,JUNGLE,Renata,blue,6,2,8,10152,3840,3077,"{'deathsByEnemyChamps': 2, 'hadAfkTeammate': 0, 'kda': 7, 'laningPhaseGoldExpAdvantage': 0, 'maxLevelLeadLaneOpponent': 3, 'teamDamagePercentage': 0.146993735661537, 'visionScoreAdvantageLaneOpponent': 2.401382446289062}",True
4102,NA1_4245661372,Akshan,MIDDLE,Jinx,blue,10,2,3,11223,3058,3332,"{'deathsByEnemyChamps': 2, 'hadAfkTeammate': 0, 'kda': 6.5, 'laningPhaseGoldExpAdvantage': 0, 'maxLevelLeadLaneOpponent': 1, 'teamDamagePercentage': 0.174292666586801, 'visionScoreAdvantageLaneOpponent': 0.676693737506866}",True
4103,NA1_4245661372,Ziggs,BOTTOM,Hecarim,blue,9,1,9,13942,3901,2901,"{'deathsByEnemyChamps': 1, 'hadAfkTeammate': 0, 'kda': 18, 'laningPhaseGoldExpAdvantage': 0, 'maxLevelLeadLaneOpponent': 3, 'teamDamagePercentage': 0.352207856106427, 'visionScoreAdvantageLaneOpponent': 1.153450012207031}",True
4104,NA1_4245661372,Nautilus,UTILITY,Cassiopeia,blue,1,2,13,6594,2317,2034,"{'deathsByEnemyChamps': 2, 'hadAfkTeammate': 0, 'kda': 7, 'laningPhaseGoldExpAdvantage': 0, 'maxLevelLeadLaneOpponent': 1, 'teamDamagePercentage': 0.077272534773863, 'visionScoreAdvantageLaneOpponent': 2.080406665802002}",True
4105,NA1_4245661372,Riven,TOP,Morgana,red,1,8,0,6200,2113,4409,"{'deathsByEnemyChamps': 8, 'hadAfkTeammate': 0, 'kda': 0.125, 'laningPhaseGoldExpAdvantage': '0', 'maxLevelLeadLaneOpponent': '0', 'teamDamagePercentage': 0.127353131031319, 'visionScoreAdvantageLaneOpponent': '0'}",False
4106,NA1_4245661372,Nocturne,JUNGLE,Zeri,red,1,7,2,6601,3077,3840,"{'deathsByEnemyChamps': 7, 'hadAfkTeammate': 0, 'kda': 0.42857142857142805, 'laningPhaseGoldExpAdvantage': -0.38806277513504, 'maxLevelLeadLaneOpponent': 1, 'teamDamagePercentage': 0.171220666041757, 'visionScoreAdvantageLaneOpponent': 1.01732587814331}",False
4107,NA1_4245661372,Viktor,MIDDLE,,red,1,4,1,8649,3332,3058,"{'deathsByEnemyChamps': 4, 'hadAfkTeammate': 0, 'kda': 0.5, 'laningPhaseGoldExpAdvantage': -0.051800549030303004, 'maxLevelLeadLaneOpponent': 1, 'teamDamagePercentage': 0.197437486290189, 'visionScoreAdvantageLaneOpponent': 1.477773427963256}",False
4108,NA1_4245661372,Caitlyn,BOTTOM,Shaco,red,5,8,2,9737,2901,3901,"{'deathsByEnemyChamps': 8, 'hadAfkTeammate': 0, 'kda': 0.875, 'laningPhaseGoldExpAdvantage': -0.43495202064514105, 'maxLevelLeadLaneOpponent': 1, 'teamDamagePercentage': 0.27453722373758205, 'visionScoreAdvantageLaneOpponent': 0.866964280605316}",False
